dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02617,2015-02-09,1312,10887,9,2,2015,0,7,8.298018292682928
B02682,2015-02-09,1241,10209,9,2,2015,0,7,8.226430298146656
B02598,2015-02-09,976,8135,9,2,2015,0,7,8.335040983606557
B02764,2015-02-09,3543,28266,9,2,2015,0,7,7.977984758679086
B02512,2015-02-09,228,1565,9,2,2015,0,7,6.864035087719298
B02765,2015-02-09,388,2894,9,2,2015,0,7,7.458762886597938
B02764,2015-02-10,3700,29124,10,2,2015,1,7,7.871351351351351
B02512,2015-02-10,233,1555,10,2,2015,1,7,6.67381974248927
B02617,2015-02-10,1364,11401,10,2,2015,1,7,8.35850439882698
B02765,2015-02-10,422,3432,10,2,2015,1,7,8.132701421800947
B02682,2015-02-10,1281,10536,10,2,2015,1,7,8.224824355971897
B02598,2015-02-10,1029,8718,10,2,2015,1,7,8.472303206997085
B02617,2015-02-11,1450,12749,11,2,2015,2,7,8.792413793103448
B02764,2015-02-11,3849,31889,11,2,2015,2,7,8.285009093270979
B02512,2015-02-11,255,1831,11,2,2015,2,7,7.180392156862745
B02598,2015-02-11,1115,10034,11,2,2015,2,7,8.999103139013453
B02765,2015-02-11,450,3778,11,2,2015,2,7,8.395555555555555
B02682,2015-02-11,1396,12189,11,2,2015,2,7,8.73137535816619
B02617,2015-02-12,1532,14263,12,2,2015,3,7,9.310052219321149
B02512,2015-02-12,269,2092,12,2,2015,3,7,7.776951672862453
B02682,2015-02-12,1468,13786,12,2,2015,3,7,9.39100817438692
B02765,2015-02-12,536,4609,12,2,2015,3,7,8.598880597014926
B02598,2015-02-12,1181,11640,12,2,2015,3,7,9.856054191363251
B02764,2015-02-12,4137,36844,12,2,2015,3,7,8.905970510031423
B02617,2015-02-13,1590,16996,13,2,2015,4,7,10.68930817610063
B02682,2015-02-13,1523,16088,13,2,2015,4,7,10.563361785948786
B02764,2015-02-13,4395,43561,13,2,2015,4,7,9.911490329920364
B02765,2015-02-13,599,5909,13,2,2015,4,7,9.864774624373956
B02512,2015-02-13,281,2408,13,2,2015,4,7,8.569395017793594
B02598,2015-02-13,1216,13062,13,2,2015,4,7,10.741776315789474
B02764,2015-02-14,4129,45858,14,2,2015,5,7,11.10632114313393
B02512,2015-02-14,236,2055,14,2,2015,5,7,8.707627118644067
B02598,2015-02-14,1111,12678,14,2,2015,5,7,11.411341134113412
B02765,2015-02-14,583,6307,14,2,2015,5,7,10.818181818181818
